c5,c6,c7,c8,c9,n0,n1,n2,n3,n4,class
a,a,b,a,a,0.4485732626311203,1.2126441286001115,2.5555147709594466,0.2427020988950138,0.6976043881556423,A
a,a,a,b,b,1.9025153359186475,-0.4673492278375907,-0.7445226636757665,-0.0171560763629257,-0.3802884974370241,A
a,a,a,b,b,0.8250453338792059,1.0022665642333508,1.972207061556352,-0.7900945466870133,0.2334564416630295,B
a,a,a,b,b,-0.1249740203449978,0.9026006184887124,1.696092131706897,-0.3201815438094044,0.2432612051260863,A
b,a,a,b,a,-1.2597649922246297,0.7931339930674923,1.5475270339306215,-2.13217158147776,-0.7883674242917494,B
b,a,a,a,a,-1.0097572990373862,0.8282403924498893,1.853747453948491,0.8889034439612109,0.8145024593909479,A
b,a,a,b,b,-0.5358469239498758,-0.2445810050860465,-0.673570564700579,-0.070034678551181,-0.0652345436712994,A
a,b,b,b,a,0.4636008333158924,-0.2281046769534404,-0.6001490226060062,-0.5777935619542313,-0.3868275326086378,B
a,b,b,a,b,0.7759017467483178,0.5367988839638139,0.5392636648793925,0.1525652560388884,0.4796388262205376,A
b,b,b,b,a,-2.0265281829503143,-2.2757839618109896,-4.188440886011058,-0.3680813106021866,-1.375614141311534,B
a,b,b,a,b,0.3090930480905956,-1.0021438184417977,-2.271017113852894,1.487024977448167,0.3156455069881944,B
b,b,b,a,b,-1.1784784036635665,1.2730878007881434,2.406240185566098,1.0426900736744058,1.3235446519166372,A
b,a,a,a,a,-1.9055919023533427,-0.4580140601410684,-1.1405996730220331,0.5245643517007067,-0.1830204395035745,A
b,b,b,a,b,1.4693203828661194,0.2138576970233281,0.3770099560361719,1.5206696984529,0.7724185290301656,A
b,a,a,b,b,-0.5915862141175288,0.4156343568226437,1.1428022653561642,-0.4807745583798841,0.104794722904421,A
b,b,b,b,a,0.2963737838368425,0.379202254835661,0.7998758875852804,2.0579204577235424,1.2883776118863768,A
a,b,b,b,a,0.1690736636112746,1.7484945360654625,3.3433409822679487,-1.088060090955222,0.4396619084272881,A
a,a,a,b,b,0.0441637894016642,0.223532747425943,0.0407722420807927,-0.1312575266287392,-0.0126357102978877,A
b,a,a,a,b,0.5363101053820227,2.3809829662216297,4.344279954184256,0.0048270622904685,1.357142897099916,A
a,a,a,b,b,1.268319689583159,-1.3929884163951127,-2.865866996194533,-0.5594048478679352,-0.8828225092330089,B
a,a,a,b,b,0.7295137736932523,0.3326580791643891,0.9777648125810664,-1.3100925344604288,-0.753056603906824,B
a,a,a,a,b,-0.0800161086867617,-1.157231722386832,-2.0725349474023056,0.3126602873877215,-0.3174758864127678,A
b,b,b,a,b,1.1984567281495,-0.3220853852477917,-0.4211669538690797,0.0633710184006981,-0.1140797699049877,B
a,b,b,b,a,-1.1918119936025835,-0.4683569361902783,-0.9561034071795208,-0.2548247431489397,-0.5577627269125086,B
b,b,b,b,a,0.4514402540487034,-2.023686148521125,-4.310363018828512,-0.6232570198271035,-1.1649506530992448,B
a,a,a,b,b,0.3081400120743264,0.5097771660627505,1.4098508920398578,0.1894446811785137,0.0938479859809582,A
b,a,a,b,b,-0.0155032626672159,0.9034807409505212,1.7157561659017455,-1.5946171980850514,-0.5831173715014768,B
a,a,a,a,a,1.1525031615921828,-0.5077799955324841,-1.024338371406646,0.0917142740983752,-0.4778296640166002,A
a,a,a,a,a,0.9965654000811356,1.7176573128978128,3.188236235181979,1.0046107215413589,1.2860213721788147,A
a,a,a,a,a,-0.6087564804709298,1.1735696540224738,2.357170887442678,0.0593143863251593,0.6101848111685038,A
a,a,a,a,a,-0.9598388896664072,-0.0827645642331414,0.1165210139538373,0.7409392445381773,0.3560748385039947,A
a,a,a,b,b,-0.4673543949902474,0.2618027310472462,0.4514117059633408,0.1175697687251681,0.2351725874073943,A
b,b,b,a,b,1.2958088163082082,-1.9084761004050144,-3.4296492974757777,0.0660752952636923,-0.9052119572762848,B
b,a,a,b,b,-2.6761941308532395,-0.7898098008176055,-1.5775517274358044,-0.0953689884724004,-0.507016718953381,B
b,a,b,a,a,0.2512903327675963,0.7614942408110688,1.219876142759444,0.0406872372339134,0.6551873939432773,A
b,b,b,a,b,1.8248937289728948,0.5735206395886665,1.0701731163993016,0.5845181943963067,0.5699221188476946,A
a,a,a,b,b,1.296125830702753,-0.7621376076679252,-1.091883901326929,-0.5570669107875413,-0.5766628261910199,B
b,b,b,b,a,0.2691012415377836,0.303653801292916,0.7017121447723998,-0.0928807977760902,-0.0241116083655005,A
b,a,a,a,a,1.1268124118131797,-0.9947878303252216,-2.1077148236604604,0.4570196323707527,-0.1924869240105566,A
b,a,a,b,b,0.0647324671005947,0.7048042475271231,1.5866496383210027,-0.2960971949806349,0.2400771933554099,A
a,b,b,a,b,-1.4355198775104812,0.9066366599846748,1.7456829782043797,0.8049618101672074,0.9568432664412638,A
b,a,a,a,a,0.0709615772554488,2.2060315491930327,4.885667351312967,0.6527902757359145,1.3252345342717708,B
a,a,a,b,a,-0.5653251566396035,0.9231804325600088,2.459940312433809,-0.3446800347446415,0.4361267948644022,A
b,b,b,a,a,1.00219297264642,-0.2283313758858829,-0.4186465169166792,0.4389217633744512,0.3417785513603267,B
b,b,b,b,a,-1.1184213943457,0.2624338843333084,0.1936531799238586,-0.9886689656841786,-0.2055652919496,B
b,b,a,a,b,-0.2441815183099527,1.3892513903272623,2.283084423122835,2.669326847424097,2.0849445939335425,A
b,b,b,b,a,1.9277157610057007,1.130939320993206,2.649348586602298,-0.6523455020337066,0.0159968145296457,A
a,a,a,a,b,0.6321413250280249,-1.0978868941616575,-2.150412039802322,0.8204864747574053,-0.1980120969565185,A
b,a,a,a,a,-0.4731871923515909,-1.1608666221669417,-2.043749088738622,1.4322234457979683,0.2081889168731512,A
a,a,a,a,a,-0.1923178701009051,0.7146312136933708,1.1889531459652325,2.146076524914538,1.3933568233383782,A
a,a,a,a,a,0.1787669671699831,-0.7158504987303569,-1.744045694623955,1.2020071120959692,0.2696255695017865,A
b,a,a,a,b,1.3646840551607486,-0.4286812792434987,-1.4562421720638072,1.1226792716675524,0.3432135727504786,A
b,b,b,b,a,-0.8785320487688855,2.046157247870372,4.4023655505597175,-0.6331572158437041,0.5792332449567876,A
a,a,b,a,a,0.7944885825301361,-1.0895654558900392,-2.8367407132329547,0.0964266995187819,-0.6634238657134293,B
b,b,a,a,a,-0.6212743705217265,0.0932291968360509,0.1070897094430143,0.2825344603825396,0.238771722190721,A
b,b,b,a,b,-0.5524093788909024,0.4586893044745694,0.7617814364300552,0.4504150924069764,0.5784213551928546,A
a,b,b,a,b,-0.5370640925609409,1.0316305022112393,2.315530522191694,-1.1348465668858816,0.0262903735737706,A
a,b,b,b,a,1.5702179182748368,0.6073897757787211,0.8778024063131784,1.1039424384315906,1.06858481921545,A
b,b,b,a,b,0.445893502812566,-1.0001928326222294,-2.3319977995532297,-0.4929529384377203,-0.5381934820486565,B
a,a,a,a,a,-0.2003510016324541,-0.5031474481024041,-0.3841175558128331,0.188513103232586,-0.039205344885387,A
a,a,b,b,b,-0.8374820684337752,-0.2032515156477185,-0.2261857789974371,-1.7940703209453306,-0.9115712827931668,B
b,a,a,b,b,-0.0561553498937093,-0.256313890115271,-0.7903061903819426,1.0813280659133608,0.41568252575918,A
b,b,a,a,b,-1.2350592670736031,-1.64588242243507,-3.3746758905609413,0.3694354597669186,-0.5108079226172288,A
a,b,b,a,b,1.2599011119759622,1.243387468774794,2.354117138988707,0.2258091419470499,0.7701759487251119,A
a,b,b,b,a,0.1433301217458704,-0.7352600793416336,-1.2932718967240548,-1.583804571456742,-1.0945134692938163,A
b,b,b,b,a,-0.5981179136930228,1.1045880927384912,2.086720906741578,-1.4478002279361848,-0.2223252912749704,B
a,a,a,b,b,0.5107538908101562,0.005502685870897,-0.0851796121275602,-0.5754149272011484,-0.2110924612494446,B
a,b,b,a,b,2.6579322974380784,0.0893538065573896,-0.0710470657682175,1.4147587482932351,0.4459147354823257,A
a,b,b,b,a,-1.1975309343699787,-1.0282846406172443,-1.829475508561415,-0.8678755777547006,-0.8675633269271307,B
b,b,b,b,a,-0.7638806284380515,-1.160095743053117,-2.023426499200735,-0.2162204484552525,-0.8179093611390423,B
a,a,a,b,a,1.1676709255816131,1.125742696622149,2.633050285429574,-0.6027434285437504,0.2659658783651647,A
b,a,a,b,b,-0.4194419435096402,1.708004355065733,3.5008840002123507,-0.773673410989391,0.3828545014591836,A
a,b,b,a,b,1.5076355118364817,0.7299675574605774,1.1332946943879785,0.6744130318623219,0.7322685058698516,A
a,a,a,b,b,-1.932650737876081,0.1080232686585269,0.8208147381978476,-1.5845308415059736,-0.7632728309019008,A
b,a,a,a,a,0.1277718345520553,-0.57305358042231,-1.37122075591616,2.371860901704133,1.1708925681189766,A
a,b,b,a,a,-0.4612817273279022,0.2390016386831334,0.8094895010864945,-0.9135689339971136,-0.5953179431160609,B
b,a,a,a,a,0.9500348677686264,-1.8398288451602725,-3.490696594632222,0.7302740746078885,-0.508518096293133,A
a,b,b,b,b,-0.4377566306730177,-0.5093238924602114,-1.211332956625118,-0.9725915309771316,-0.6711858212447609,B
b,b,a,b,a,1.2686000213490944,-1.90855944259952,-3.5731677586438595,-0.902763422260302,-1.4568682232754258,B
a,b,b,b,a,-0.2787696986422562,0.0118433767883934,0.4385255880977712,-0.8782889910187027,-0.3324222883832864,B
b,a,b,a,a,1.4589661309619413,-0.0341812762901105,-0.0342204269926768,0.7438913542421729,0.3083358788397869,A
a,a,a,b,b,-0.7886003585928859,0.7357342923972017,1.3769076325834717,-0.9858576907669035,-0.0939888518490421,B
b,a,a,a,a,-0.6641011184400133,0.0595716351624794,-0.1034795425737287,0.5141543662672696,0.4689704601028173,A
a,a,a,a,a,-0.5715880767947913,0.0309754403028865,-0.1161557047758364,0.3078187410495005,0.1921204288840415,A
a,b,b,b,a,1.3100220845459214,1.0956469991150943,2.675331243608546,-0.6840131967707654,0.3063857142377769,A
b,b,b,b,a,0.7924680516865383,0.1720507224748249,0.2100917687997789,-1.1984334131966323,-0.3367577114128379,A
a,a,a,a,a,0.604308353844977,2.2329632050931183,4.345229151586612,1.602576329992389,1.7659289181735698,A
b,a,a,b,b,0.8439657845070823,-0.9891526571989212,-1.8299853514632685,0.1308267030255128,-0.4910432555718865,A
a,a,a,a,a,-0.1003095784311593,0.7742675785681632,1.5134964141482563,1.3540060840068775,1.0985906983956906,A
b,a,a,b,a,-0.0560035040431761,1.1741913641103707,2.3379251203044413,-1.789384165380162,-0.2809770672805736,B
b,a,a,b,b,1.381580996346084,-0.9284147743982748,-2.0255854125562864,-0.2312304746351579,-0.4338106185190793,B
b,b,b,a,b,-1.2054144483594755,0.6769592961057463,1.6417511191198677,0.3614354701955039,0.4665059434822586,A
b,a,b,b,b,0.1015765970748119,-0.3015825498741241,-0.7423880053664922,-0.2325463657242013,-0.3514871038962626,B
a,b,b,b,a,-1.1451081696856626,0.6213401414933929,0.7467177267471158,-0.0163011335840824,0.1171228908654777,A
