,c5,c6,c7,c8,c9,n0,n1,n2,n3,n4,class
0,a,a,b,a,a,0.4485732626311203,1.2126441286001115,2.5555147709594466,0.2427020988950138,0.6976043881556423,0
1,a,a,a,b,b,1.9025153359186475,-0.4673492278375907,-0.7445226636757665,-0.0171560763629257,-0.3802884974370241,0
2,a,a,a,b,b,0.8250453338792059,1.0022665642333508,1.9722070615563516,-0.7900945466870133,0.2334564416630295,1
3,a,a,a,b,b,-0.1249740203449978,0.9026006184887124,1.696092131706897,-0.3201815438094044,0.2432612051260863,0
4,b,a,a,b,a,-1.2597649922246297,0.7931339930674923,1.5475270339306215,-2.13217158147776,-0.7883674242917494,1
5,b,a,a,a,a,-1.0097572990373862,0.8282403924498893,1.853747453948491,0.8889034439612109,0.8145024593909479,0
6,b,a,a,b,b,-0.5358469239498758,-0.2445810050860465,-0.673570564700579,-0.070034678551181,-0.0652345436712994,0
7,a,b,b,b,a,0.4636008333158924,-0.2281046769534404,-0.6001490226060062,-0.5777935619542313,-0.3868275326086378,1
8,a,b,b,a,b,0.7759017467483178,0.5367988839638139,0.5392636648793925,0.1525652560388884,0.4796388262205376,0
9,b,b,b,b,a,-2.0265281829503143,-2.2757839618109896,-4.188440886011058,-0.3680813106021866,-1.375614141311534,1
10,a,b,b,a,b,0.3090930480905956,-1.0021438184417977,-2.271017113852894,1.487024977448167,0.3156455069881944,1
11,b,b,b,a,b,-1.1784784036635665,1.2730878007881434,2.406240185566098,1.0426900736744058,1.3235446519166372,0
12,b,a,a,a,a,-1.9055919023533427,-0.4580140601410684,-1.1405996730220331,0.5245643517007067,-0.1830204395035745,0
13,b,b,b,a,b,1.4693203828661194,0.2138576970233281,0.3770099560361719,1.5206696984529,0.7724185290301656,0
14,b,a,a,b,b,-0.5915862141175288,0.4156343568226437,1.1428022653561642,-0.4807745583798841,0.104794722904421,0
15,b,b,b,b,a,0.2963737838368425,0.379202254835661,0.7998758875852804,2.0579204577235424,1.2883776118863768,0
16,a,b,b,b,a,0.1690736636112746,1.7484945360654625,3.3433409822679487,-1.088060090955222,0.4396619084272881,0
17,a,a,a,b,b,0.0441637894016642,0.223532747425943,0.0407722420807927,-0.1312575266287392,-0.0126357102978877,0
18,b,a,a,a,b,0.5363101053820227,2.3809829662216297,4.344279954184256,0.0048270622904685,1.357142897099916,0
